0, 3.000000 + 0.000000 I
1, 0.000000 + -0.000000 I
2, -0.000000 + -0.500000 I
3, -0.000000 + -0.000000 I
4, 0.000000 + 0.000000 I
5, -0.000000 + -0.000000 I
6, -0.000000 + -0.000000 I
7, 0.000000 + 0.000000 I
8, -0.000000 + -0.000000 I
9, -0.000000 + 0.000000 I
10, 1.000000 + 0.000000 I
11, -0.000000 + -0.000000 I
12, -0.000000 + 0.000000 I
13, 0.000000 + 0.000000 I
14, -0.000000 + 0.000000 I
15, -0.000000 + 0.000000 I
16, 0.000000 + 0.000000 I
17, 0.000000 + 0.000000 I
18, -0.000000 + -0.000000 I
19, -0.000000 + 0.000000 I
20, -0.000000 + -0.000000 I
21, -0.000000 + 0.000000 I
22, -0.000000 + 0.000000 I
23, -0.000000 + 0.000000 I
24, -0.000000 + 0.000000 I
25, 0.000000 + -0.000000 I
26, -0.000000 + -0.000000 I
27, 0.000000 + -0.000000 I
28, 0.000000 + -0.000000 I
29, 0.000000 + -0.000000 I
30, -0.000000 + -0.000000 I
31, -0.000000 + -0.000000 I
32, 0.000000 + -0.000000 I
33, 0.000000 + 0.000000 I
34, 0.000000 + -0.000000 I
35, -0.000000 + -0.000000 I
36, -0.000000 + -0.000000 I
37, 0.000000 + 0.000000 I
38, -0.000000 + -0.000000 I
39, -0.000000 + 0.000000 I
40, -0.000000 + -0.000000 I
41, -0.000000 + -0.000000 I
42, -0.000000 + 0.000000 I
43, -0.000000 + -0.000000 I
44, 0.000000 + 0.000000 I
45, -0.000000 + -0.000000 I
46, 0.000000 + -0.000000 I
47, -0.000000 + 0.000000 I
48, -0.000000 + 0.000000 I
49, -0.000000 + 0.000000 I
50, -0.000000 + 0.000000 I
51, 0.000000 + 0.000000 I
52, 0.000000 + -0.000000 I
53, 0.000000 + -0.000000 I
54, -0.000000 + -0.000000 I
55, 0.000000 + 0.000000 I
56, -0.000000 + 0.000000 I
57, -0.000000 + -0.000000 I
58, 0.000000 + -0.000000 I
59, -0.000000 + 0.000000 I
60, -0.000000 + -0.000000 I
61, -0.000000 + 0.000000 I
62, 0.000000 + -0.000000 I
63, -0.000000 + -0.000000 I
64, 0.000000 + -0.000000 I
65, 0.000000 + -0.000000 I
66, -0.000000 + 0.000000 I
67, 0.000000 + 0.000000 I
68, 0.000000 + 0.000000 I
69, 0.000000 + 0.000000 I
70, -0.000000 + -0.000000 I
71, 0.000000 + -0.000000 I
72, -0.000000 + 0.000000 I
73, -0.000000 + 0.000000 I
74, -0.000000 + 0.000000 I
75, -0.000000 + 0.000000 I
76, -0.000000 + -0.000000 I
77, 0.000000 + 0.000000 I
78, -0.000000 + 0.000000 I
79, 0.000000 + 0.000000 I
80, -0.000000 + 0.000000 I
81, -0.000000 + 0.000000 I
82, 0.000000 + -0.000000 I
83, 0.000000 + 0.000000 I
84, -0.000000 + 0.000000 I
85, 0.000000 + 0.000000 I
86, -0.000000 + 0.000000 I
87, -0.000000 + 0.000000 I
88, 0.000000 + 0.000000 I
89, 0.000000 + -0.000000 I
90, 0.000000 + -0.000000 I
91, -0.000000 + -0.000000 I
92, -0.000000 + -0.000000 I
93, -0.000000 + -0.000000 I
94, 0.000000 + 0.000000 I
95, -0.000000 + -0.000000 I
96, -0.000000 + 0.000000 I
97, 0.000000 + -0.000000 I
98, -0.000000 + -0.000000 I
99, 0.000000 + -0.000000 I
100, 0.000000 + 0.000000 I
101, -0.000000 + -0.000000 I
102, -0.000000 + 0.000000 I
103, -0.000000 + -0.000000 I
104, 0.000000 + -0.000000 I
105, -0.000000 + 0.000000 I
106, 0.000000 + 0.000000 I
107, 0.000000 + 0.000000 I
108, 0.000000 + -0.000000 I
109, 0.000000 + -0.000000 I
110, -0.000000 + 0.000000 I
111, -0.000000 + -0.000000 I
112, -0.000000 + 0.000000 I
113, 0.000000 + 0.000000 I
114, -0.000000 + 0.000000 I
115, 0.000000 + 0.000000 I
116, -0.000000 + -0.000000 I
117, -0.000000 + -0.000000 I
118, -0.000000 + 0.000000 I
119, 0.000000 + 0.000000 I
120, 0.000000 + -0.000000 I
121, -0.000000 + 0.000000 I
